Date,Stock_symbol,sentiment_score
2019-07-22,GOOG,0.0
2019-07-22,INTC,-0.21739130434782608
2019-07-22,NVDA,-1.0
2019-07-23,GOOG,-0.42857142857142855
2019-07-23,INTC,-0.15789473684210525
2019-07-23,NVDA,1.0
2019-07-24,GOOG,-0.2
2019-07-24,INTC,-0.38461538461538464
2019-07-24,NVDA,-1.0
2019-07-25,GOOG,-0.2
2019-07-25,INTC,-0.26666666666666666
2019-07-25,NVDA,-1.0
2019-07-26,GOOG,-0.1724137931034483
2019-07-26,INTC,-0.2727272727272727
2019-07-26,NVDA,-1.0
2019-07-27,GOOG,0.0
2019-07-27,INTC,0.0
2019-07-28,GOOG,1.0
2019-07-28,INTC,0.6
2019-07-29,GOOG,0.2
2019-07-29,INTC,0.2
2019-07-29,NVDA,-1.0
2019-07-30,GOOG,0.3333333333333333
2019-07-30,INTC,-0.4666666666666667
2019-07-30,NVDA,1.0
2019-07-31,GOOG,-0.2
2019-07-31,INTC,-0.7142857142857143
2019-07-31,NVDA,0.0
2019-08-01,GOOG,-1.0
2019-08-01,INTC,0.6
2019-08-01,NVDA,-1.0
2019-08-02,GOOG,-0.5
2019-08-02,INTC,-1.0
2019-08-02,NVDA,1.0
2019-08-03,GOOG,0.0
2019-08-04,GOOG,-1.0
2019-08-04,INTC,0.0
2019-08-05,GOOG,-0.42857142857142855
2019-08-05,INTC,0.09090909090909091
2019-08-05,NVDA,-1.0
2019-08-06,GOOG,-0.4
2019-08-06,INTC,-1.0
2019-08-07,GOOG,-0.4
2019-08-07,INTC,-0.6666666666666666
2019-08-08,GOOG,-0.3333333333333333
2019-08-08,INTC,0.3333333333333333
2019-08-08,NVDA,1.0
2019-08-09,GOOG,-0.5555555555555556
2019-08-09,INTC,0.0
2019-08-09,NVDA,0.0
2019-08-10,GOOG,0.0
2019-08-10,INTC,1.0
2019-08-11,GOOG,-1.0
2019-08-12,GOOG,0.14285714285714285
2019-08-12,INTC,-0.1111111111111111
2019-08-12,NVDA,0.0
2019-08-13,GOOG,-0.75
2019-08-13,INTC,-0.5
2019-08-13,NVDA,-1.0
2019-08-14,GOOG,-1.0
2019-08-14,INTC,-0.25
2019-08-14,NVDA,0.0
2019-08-15,GOOG,-0.5
2019-08-15,INTC,-0.3333333333333333
2019-08-15,NVDA,-0.3333333333333333
2019-08-16,GOOG,-0.3333333333333333
2019-08-16,INTC,-0.3333333333333333
2019-08-16,NVDA,0.058823529411764705
2019-08-17,INTC,0.0
2019-08-17,NVDA,1.0
2019-08-18,INTC,1.0
2019-08-19,GOOG,-0.3333333333333333
2019-08-19,INTC,-0.2
2019-08-19,NVDA,-0.5
2019-08-20,GOOG,-0.3333333333333333
2019-08-20,INTC,-1.0
2019-08-20,NVDA,-1.0
2019-08-21,GOOG,0.0
2019-08-21,INTC,-0.3333333333333333
2019-08-21,NVDA,-0.3333333333333333
2019-08-22,GOOG,-0.5384615384615384
2019-08-22,INTC,-0.5
2019-08-23,GOOG,-1.0
2019-08-23,INTC,-0.6
2019-08-23,NVDA,-1.0
2019-08-24,GOOG,1.0
2019-08-24,INTC,-0.3333333333333333
2019-08-25,GOOG,0.0
2019-08-25,INTC,-1.0
2019-08-26,GOOG,0.09090909090909091
2019-08-26,INTC,-0.14285714285714285
2019-08-26,NVDA,0.0
2019-08-27,GOOG,-0.75
2019-08-27,INTC,0.0
2019-08-28,GOOG,-0.75
2019-08-28,INTC,-0.7777777777777778
2019-08-29,GOOG,1.0
2019-08-29,INTC,-0.16666666666666666
2019-08-29,NVDA,0.0
2019-08-30,GOOG,-0.5
2019-08-30,INTC,-0.42857142857142855
2019-08-30,NVDA,-1.0
2019-08-31,INTC,-1.0
2019-09-01,GOOG,1.0
2019-09-01,INTC,1.0
2019-09-02,GOOG,0.0
2019-09-02,INTC,0.5
2019-09-03,GOOG,-0.5
2019-09-03,INTC,-0.75
2019-09-03,NVDA,-0.3333333333333333
2019-09-04,GOOG,-1.0
2019-09-04,INTC,-0.2
2019-09-04,NVDA,-1.0
2019-09-05,GOOG,-0.7777777777777778
2019-09-05,INTC,-0.058823529411764705
2019-09-05,NVDA,0.3333333333333333
2019-09-06,GOOG,-0.42857142857142855
2019-09-06,INTC,-0.3333333333333333
2019-09-07,GOOG,0.0
2019-09-07,INTC,1.0
2019-09-08,INTC,-1.0
2019-09-09,GOOG,-0.1111111111111111
2019-09-09,INTC,-0.5
2019-09-10,GOOG,-0.3333333333333333
2019-09-10,INTC,-1.0
2019-09-10,NVDA,-1.0
2019-09-11,GOOG,-1.0
2019-09-11,INTC,0.0
2019-09-11,NVDA,1.0
2019-09-12,GOOG,-0.6
2019-09-12,INTC,0.0
2019-09-13,GOOG,0.5555555555555556
2019-09-13,INTC,-1.0
2019-09-15,GOOG,0.0
2019-09-15,INTC,-1.0
2019-09-15,NVDA,1.0
2019-09-16,GOOG,-0.3333333333333333
2019-09-16,INTC,-0.2
2019-09-17,GOOG,-1.0
2019-09-17,INTC,0.0
2019-09-18,GOOG,-1.0
2019-09-18,INTC,-0.6
2019-09-18,NVDA,1.0
2019-09-19,GOOG,-0.6
2019-09-19,INTC,0.0
2019-09-19,NVDA,-1.0
2019-09-20,GOOG,-0.25
2019-09-20,INTC,-0.5
2019-09-22,GOOG,-1.0
2019-09-23,GOOG,-0.75
2019-09-23,INTC,1.0
2019-09-23,NVDA,-1.0
2019-09-24,GOOG,-1.0
2019-09-24,INTC,-0.3333333333333333
2019-09-24,NVDA,-1.0
2019-09-25,GOOG,-1.0
2019-09-25,INTC,0.3333333333333333
2019-09-25,NVDA,-1.0
2019-09-26,GOOG,-1.0
2019-09-26,INTC,-0.6666666666666666
2019-09-27,GOOG,1.0
2019-09-27,INTC,-0.2
2019-09-27,NVDA,-1.0
2019-09-28,GOOG,-1.0
2019-09-28,INTC,1.0
2019-09-29,GOOG,-1.0
2019-09-29,INTC,1.0
2019-09-30,GOOG,-0.5
2019-09-30,INTC,-0.5
2019-10-01,GOOG,-1.0
2019-10-01,INTC,-0.14285714285714285
2019-10-01,NVDA,-1.0
2019-10-02,GOOG,-0.8571428571428571
2019-10-02,INTC,0.0
2019-10-02,NVDA,-1.0
2019-10-03,GOOG,0.0
2019-10-03,INTC,-0.6
2019-10-03,NVDA,-1.0
2019-10-04,GOOG,0.3333333333333333
2019-10-04,INTC,0.5
2019-10-05,GOOG,-0.3333333333333333
2019-10-05,INTC,-0.2
2019-10-06,GOOG,1.0
2019-10-06,INTC,0.3333333333333333
2019-10-07,GOOG,-1.0
2019-10-07,INTC,-0.5
2019-10-07,NVDA,-0.8
2019-10-08,GOOG,-1.0
2019-10-08,INTC,-0.2
2019-10-08,NVDA,0.0
2019-10-09,GOOG,-0.5555555555555556
2019-10-09,INTC,-0.23076923076923078
2019-10-09,NVDA,0.5
2019-10-10,GOOG,-1.0
2019-10-10,INTC,0.2
2019-10-10,NVDA,1.0
2019-10-11,GOOG,-0.2
2019-10-11,INTC,-0.2
2019-10-11,NVDA,1.0
2019-10-12,GOOG,1.0
2019-10-13,GOOG,1.0
2019-10-13,INTC,1.0
2019-10-14,GOOG,-0.42857142857142855
2019-10-14,INTC,-0.25
2019-10-14,NVDA,-1.0
2019-10-15,GOOG,-0.25
2019-10-15,INTC,-0.42857142857142855
2019-10-15,NVDA,0.42857142857142855
2019-10-16,GOOG,-0.5714285714285714
2019-10-16,INTC,-0.2727272727272727
2019-10-16,NVDA,1.0
2019-10-17,GOOG,0.0
2019-10-17,INTC,-1.0
2019-10-17,NVDA,1.0
2019-10-18,GOOG,-0.1111111111111111
2019-10-18,INTC,-0.42857142857142855
2019-10-19,GOOG,-1.0
2019-10-20,GOOG,1.0
2019-10-20,INTC,1.0
2019-10-21,GOOG,-1.0
2019-10-21,INTC,0.42857142857142855
2019-10-21,NVDA,0.0
2019-10-22,GOOG,-0.25
2019-10-22,INTC,-0.09090909090909091
2019-10-22,NVDA,0.3333333333333333
2019-10-23,GOOG,-0.8
2019-10-23,INTC,-0.42857142857142855
2019-10-23,NVDA,-1.0
2019-10-24,GOOG,0.0
2019-10-24,INTC,-0.3793103448275862
2019-10-24,NVDA,-1.0
2019-10-25,GOOG,-0.3333333333333333
2019-10-25,INTC,-0.030303030303030304
2019-10-25,NVDA,1.0
2019-10-26,GOOG,-1.0
2019-10-26,INTC,-0.3333333333333333
2019-10-27,GOOG,1.0
2019-10-27,INTC,-0.3333333333333333
2019-10-28,GOOG,-0.5172413793103449
2019-10-28,INTC,0.1
2019-10-28,NVDA,0.0
2019-10-29,GOOG,-0.23076923076923078
2019-10-29,INTC,0.14285714285714285
2019-10-30,GOOG,-0.8333333333333334
2019-10-30,INTC,0.75
2019-10-30,NVDA,1.0
